stop_id,stop_name,stop_lat,stop_lon
101_1,宇都宮駅東口,36.5594907,139.8996398
102_1,東宿郷,36.5582803,139.9038983
102_2,東宿郷,36.5582979,139.9031703
103_1,駅東公園前,36.5579872,139.9079452
103_2,駅東公園前,36.5579689,139.9074492
104_1,峰,36.5575391,139.9161206
104_2,峰,36.5575216,139.9152453
105_1,陽東3丁目,36.5573035,139.9229579
105_2,陽東3丁目,36.5572811,139.9225016
106_1,宇都宮大学陽東キャンパス,36.5570493,139.9300142
106_2,宇都宮大学陽東キャンパス,36.5570345,139.9293711
107_1,平石,36.5549730,139.9400366
107_2,平石,36.5549193,139.9400379
108_1,平石中央小学校前,36.5548215,139.9448908
108_2,平石中央小学校前,36.5547832,139.9448875
109_1,飛山城跡,36.5483424,139.9634647
109_2,飛山城跡,36.5483052,139.9634438
110_1,清陵高校前,36.5448964,139.9760882
110_2,清陵高校前,36.5448641,139.9760948
111_1,清原地区市民センター前,36.5475782,139.9841193
112_1,グリーンスタジアム前,36.5541146,139.9830721
112_2,グリーンスタジアム前,36.5549857,139.9827555
113_1,ゆいの杜西,36.5674806,139.9873161
113_2,ゆいの杜西,36.5671847,139.9863462
114_1,ゆいの杜中央,36.5677342,139.9928400
114_2,ゆいの杜中央,36.5677198,139.9921175
115_1,ゆいの杜東,36.5676287,139.9986161
115_2,ゆいの杜東,36.5676290,139.9977445
116_1,芳賀台,36.5661392,140.0063621
116_2,芳賀台,36.5663628,140.0054753
117_1,芳賀町工業団地管理センター前,36.5648742,140.0109201
117_2,芳賀町工業団地管理センター前,36.5648425,140.0109113
118_1,かしの森公園前,36.5723930,140.0147053
119_1,芳賀_高根沢工業団地前,36.5791920,140.0117818
