stop_id,stop_name,similar_stop_id,similar_stop_name
S0904000001,鹿沼駅,S0904000001,鹿沼駅
S090400000100100,鹿沼駅,S0904000001,鹿沼駅
S090400000100200,鹿沼駅,S0904000001,鹿沼駅
S090400000100300,鹿沼駅,S0904000001,鹿沼駅
S090400000100400,鹿沼駅,S0904000001,鹿沼駅
S0904000002,府所,S0904000002,府所
S090400000200100,府所,S0904000002,府所
S090400000200200,府所,S0904000002,府所
S0904000003,朝日町,S0904000003,朝日町
S090400000300100,朝日町,S0904000003,朝日町
S090400000300200,朝日町,S0904000003,朝日町
S0904000004,上田町,S0904000004,上田町
S090400000400100,上田町,S0904000004,上田町
S0904000005,天神町,S0904000005,天神町
S090400000500100,天神町,S0904000005,天神町
S090400000500200,天神町,S0904000005,天神町
S0904000006,久保町,S0904000006,久保町
S090400000600100,久保町,S0904000006,久保町
S090400000600200,久保町,S0904000006,久保町
S0904000012,鳥居跡町,S0904000012,鳥居跡町
S090400001200100,鳥居跡町,S0904000012,鳥居跡町
S090400001200200,鳥居跡町,S0904000012,鳥居跡町
S0904000013,鹿沼商工入口,S0904000013,鹿沼商工入口
S090400001300100,鹿沼商工入口,S0904000013,鹿沼商工入口
S090400001300200,鹿沼商工入口,S0904000013,鹿沼商工入口
S0904000014,鹿沼営業所,S0904000014,鹿沼営業所
S090400001400100,鹿沼営業所,S0904000014,鹿沼営業所
S0904000015,おもちゃのまち駅,S0904000015,おもちゃのまち駅
S090400001500100,おもちゃのまち駅,S0904000015,おもちゃのまち駅
S0904000016,助谷入口,S0904000016,助谷入口
S090400001600100,助谷入口,S0904000016,助谷入口
S090400001600200,助谷入口,S0904000016,助谷入口
S090400001600101,助谷入口,S0904000016,助谷入口
S090400001600201,助谷入口,S0904000016,助谷入口
S0904000017,獨協医大入口,S0904000017,獨協医大入口
S090400001700100,獨協医大入口,S0904000017,獨協医大入口
S0904000018,獨協医大病院前,S0904000018,獨協医大病院前
S090400001800100,獨協医大病院前,S0904000018,獨協医大病院前
S0904000019,宇都宮グリーンタウン,S0904000019,宇都宮グリーンタウン
S090400001900100,宇都宮グリーンタウン,S0904000019,宇都宮グリーンタウン
S090400001900200,宇都宮グリーンタウン,S0904000019,宇都宮グリーンタウン
S0904000020,グリーンタウン西,S0904000020,グリーンタウン西
S090400002000100,グリーンタウン西,S0904000020,グリーンタウン西
S090400002000200,グリーンタウン西,S0904000020,グリーンタウン西
S0904000021,グリーンタウン中央,S0904000021,グリーンタウン中央
S090400002100100,グリーンタウン中央,S0904000021,グリーンタウン中央
S090400002100200,グリーンタウン中央,S0904000021,グリーンタウン中央
S0904000022,グリーンタウン東,S0904000022,グリーンタウン東
S090400002200100,グリーンタウン東,S0904000022,グリーンタウン東
S090400002200200,グリーンタウン東,S0904000022,グリーンタウン東
S0904000023,宇都宮グリーンタウン入口,S0904000023,宇都宮グリーンタウン入口
S090400002300100,宇都宮グリーンタウン入口,S0904000023,宇都宮グリーンタウン入口
S090400002300200,宇都宮グリーンタウン入口,S0904000023,宇都宮グリーンタウン入口
S0904000024,立伏,S0904000024,立伏
S090400002400100,立伏,S0904000024,立伏
S090400002400200,立伏,S0904000024,立伏
S0904000025,太陽ヶ丘団地入口,S0904000025,太陽ヶ丘団地入口
S090400002500100,太陽ヶ丘団地入口,S0904000025,太陽ヶ丘団地入口
S090400002500200,太陽ヶ丘団地入口,S0904000025,太陽ヶ丘団地入口
S0904000026,自由ヶ丘団地入口,S0904000026,自由ヶ丘団地入口
S090400002600100,自由ヶ丘団地入口,S0904000026,自由ヶ丘団地入口
S090400002600200,自由ヶ丘団地入口,S0904000026,自由ヶ丘団地入口
S0904000027,田原小学校,S0904000027,田原小学校
S090400002700100,田原小学校,S0904000027,田原小学校
S090400002700200,田原小学校,S0904000027,田原小学校
S0904000028,田原中学校前,S0904000028,田原中学校前
S090400002800100,田原中学校前,S0904000028,田原中学校前
S090400002800200,田原中学校前,S0904000028,田原中学校前
S0904000029,下田原交差点,S0904000029,下田原交差点
S090400002900100,下田原交差点,S0904000029,下田原交差点
S090400002900200,下田原交差点,S0904000029,下田原交差点
S090400002900300,下田原交差点,S0904000029,下田原交差点
S090400002900400,下田原交差点,S0904000029,下田原交差点
S0904000030,下田原,S0904000030,下田原
S090400003000100,下田原,S0904000030,下田原
S090400003000200,下田原,S0904000030,下田原
S0904000031,山田橋,S0904000031,山田橋
S090400003100100,山田橋,S0904000031,山田橋
S090400003100200,山田橋,S0904000031,山田橋
S0904000032,塚原,S0904000032,塚原
S090400003200100,塚原,S0904000032,塚原
